Title,Code,Type,2019EmpNum,2029EmpProjNum,2019Dist,2029ProjDist,10yrChgNum,10yrChgPct, AnnAvgOpens 
Funeral home managers,11-9171,Line item,28.60,26.90,0.00,0.00,-1.60,-5.70,1.60
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,Line item,1189.20,1167.50,0.70,0.70,-21.70,-1.80,74.50
Business and financial operations occupations,13-0000,Summary,9016.30,9492.50,5.50,5.60,476.20,5.30,813.00
Business operations specialists,13-1000,Summary,5944.00,6311.90,3.70,3.70,367.90,6.20,561.70
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,21.90,24.40,0.00,0.00,2.60,11.80,2.70
Buyers and purchasing agents,13-1020,Line item,449.30,409.70,0.30,0.20,-39.70,-8.80,36.00
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,348.80,326.80,0.20,0.20,-22.00,-6.30,22.10
"Claims adjusters, examiners, and investigators",13-1031,Line item,332.90,311.50,0.20,0.20,-21.40,-6.40,21.00
"Insurance appraisers, auto damage",13-1032,Line item,15.90,15.30,0.00,0.00,-0.60,-4.00,1.10
Compliance officers,13-1041,Line item,337.60,353.20,0.20,0.20,15.60,4.60,27.70
Cost estimators,13-1051,Line item,214.20,211.00,0.10,0.10,-3.20,-1.50,17.50
Human resources workers,13-1070,Summary,746.20,787.80,0.50,0.50,41.60,5.60,70.70
Human resources specialists,13-1071,Line item,666.50,713.50,0.40,0.40,46.90,7.00,64.50
Farm labor contractors,13-1074,Line item,0.80,0.90,0.00,0.00,0.10,10.40,0.10
Labor relations specialists,13-1075,Line item,78.90,73.50,0.00,0.00,-5.40,-6.80,6.10
Logisticians,13-1081,Line item,188.20,196.40,0.10,0.10,8.20,4.40,16.80
Management analysts,13-1111,Line item,876.30,970.20,0.50,0.60,93.80,10.70,87.10
"Meeting, convention, and event planners",13-1121,Line item,138.60,149.50,0.10,0.10,10.80,7.80,15.20
Fundraisers,13-1131,Line item,100.60,115.00,0.10,0.10,14.40,14.30,11.10
"Compensation, benefits, and job analysis specialists",13-1141,Line item,94.40,101.80,0.10,0.10,7.50,7.90,9.00
Training and development specialists,13-1151,Line item,327.90,356.10,0.20,0.20,28.20,8.60,33.70
Market research analysts and marketing specialists,13-1161,Line item,738.10,868.40,0.50,0.50,130.30,17.70,84.20
"Project management specialists and business operations specialists, all other",13-1198,Line item,1361.80,1441.60,0.80,0.90,79.80,5.90,128.00
Financial specialists,13-2000,Summary,3072.30,3180.60,1.90,1.90,108.30,3.50,251.30
Accountants and auditors,13-2011,Line item,1436.10,1497.90,0.90,0.90,61.70,4.30,125.70
Property appraisers and assessors,13-2020,Line item,75.10,77.30,0.00,0.00,2.20,2.90,5.40
Budget analysts,13-2031,Line item,55.40,57.30,0.00,0.00,1.90,3.40,4.30
Credit analysts,13-2041,Line item,74.90,71.20,0.00,0.00,-3.60,-4.80,5.30
Personal financial advisors,13-2052,Line item,263.00,274.60,0.20,0.20,11.60,4.40,19.20
Insurance underwriters,13-2053,Line item,114.70,107.60,0.10,0.10,-7.10,-6.20,7.30
Financial examiners,13-2061,Line item,66.90,71.80,0.00,0.00,4.90,7.30,4.90
Credit counselors and loan officers,13-2070,Summary,352.40,365.20,0.20,0.20,12.80,3.60,27.10
Credit counselors,13-2071,Line item,35.60,38.30,0.00,0.00,2.70,7.60,2.90
Loan officers,13-2072,Line item,316.90,327.00,0.20,0.20,10.10,3.20,24.20
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,146.10,143.10,0.10,0.10,-2.90,-2.00,13.30
"Tax examiners and collectors, and revenue agents",13-2081,Line item,57.60,55.30,0.00,0.00,-2.40,-4.10,4.20
Tax preparers,13-2082,Line item,88.40,87.90,0.10,0.10,-0.60,-0.60,9.10
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",13-2098,Line item,487.80,514.60,0.30,0.30,26.80,5.50,38.60
Computer and mathematical occupations,15-0000,Summary,4845.10,5432.40,3.00,3.20,587.40,12.10,382.90
Computer occupations,15-1200,Summary,4633.40,5164.60,2.80,3.10,531.20,11.50,362.60
Computer and information analysts,15-1210,Summary,763.40,850.80,0.50,0.50,87.50,11.50,60.00
Computer systems analysts,15-1211,Line item,632.40,679.00,0.40,0.40,46.60,7.40,46.20
Information security analysts,15-1212,Line item,131.00,171.90,0.10,0.10,40.90,31.20,13.90
Computer and information research scientists,15-1221,Line item,32.70,37.70,0.00,0.00,5.00,15.40,3.00
Computer support specialists,15-1230,Summary,882.30,949.60,0.50,0.60,67.30,7.60,68.40
Computer network support specialists,15-1231,Line item,195.10,207.70,0.10,0.10,12.60,6.40,14.80
Computer user support specialists,15-1232,Line item,687.20,741.90,0.40,0.40,54.80,8.00,53.60
Database and network administrators and architects,15-1240,Summary,666.50,703.30,0.40,0.40,36.90,5.50,43.70
Computer network architects,15-1241,Line item,160.10,168.10,0.10,0.10,8.00,5.00,10.00
Network and computer systems administrators,15-1244,Line item,373.90,389.90,0.20,0.20,16.00,4.30,23.80
Database administrators and architects,15-1245,Line item,132.50,145.30,0.10,0.10,12.80,9.70,9.90
"Software and web developers, programmers, and testers",15-1250,Summary,1857.40,2167.30,1.10,1.30,309.90,16.70,155.20
Computer programmers,15-1251,Line item,213.90,193.80,0.10,0.10,-20.10,-9.40,10.40
Software developers and software quality assurance analysts and testers,15-1256,Line item,1469.20,1785.20,0.90,1.10,316.00,21.50,131.40
Web developers and digital interface designers,15-1257,Line item,174.30,188.30,0.10,0.10,14.00,8.00,13.40
"Computer occupations, all other",15-1299,Line item,431.10,455.80,0.30,0.30,24.70,5.70,32.30
Mathematical science occupations,15-2000,Summary,211.70,267.80,0.10,0.20,56.10,26.50,20.20
Actuaries,15-2011,Line item,27.70,32.60,0.00,0.00,4.90,17.60,2.00
Mathematicians,15-2021,Line item,2.90,3.00,0.00,0.00,0.10,3.00,0.20
Operations research analysts,15-2031,Line item,105.10,131.30,0.10,0.10,26.10,24.80,9.60
Statisticians,15-2041,Line item,42.70,57.50,0.00,0.00,14.80,34.60,4.90
"Data scientists and mathematical science occupations, all other",15-2098,Line item,33.20,43.40,0.00,0.00,10.30,30.90,3.60
Architecture and engineering occupations,17-0000,Summary,2728.90,2803.70,1.70,1.70,74.80,2.70,193.60
"Architects, surveyors, and cartographers",17-1000,Summary,214.30,216.00,0.10,0.10,1.80,0.80,14.80
"Architects, except naval",17-1010,Summary,154.40,154.80,0.10,0.10,0.50,0.30,10.20
"Architects, except landscape and naval",17-1011,Line item,129.90,130.90,0.10,0.10,1.10,0.80,8.70
Landscape architects,17-1012,Line item,24.50,23.90,0.00,0.00,-0.60,-2.40,1.50
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,59.90,61.20,0.00,0.00,1.30,2.10,4.60
Cartographers and photogrammetrists,17-1021,Line item,12.00,12.50,0.00,0.00,0.50,4.50,0.90
Surveyors,17-1022,Line item,48.00,48.70,0.00,0.00,0.80,1.60,3.60
Engineers,17-2000,Summary,1810.10,1879.10,1.10,1.10,69.00,3.80,117.50
Aerospace engineers,17-2011,Line item,66.40,68.20,0.00,0.00,1.90,2.80,3.90
Agricultural engineers,17-2021,Line item,1.70,1.70,0.00,0.00,0.00,1.60,0.10
Bioengineers and biomedical engineers,17-2031,Line item,21.20,22.20,0.00,0.00,1.00,4.70,1.40
Chemical engineers,17-2041,Line item,32.60,34.00,0.00,0.00,1.40,4.40,2.00
Civil engineers,17-2051,Line item,329.20,334.70,0.20,0.20,5.50,1.70,22.90
Computer hardware engineers,17-2061,Line item,71.10,72.20,0.00,0.00,1.10,1.60,4.90
Electrical and electronics engineers,17-2070,Summary,328.10,338.90,0.20,0.20,10.80,3.30,20.70
Electrical engineers,17-2071,Line item,193.10,202.10,0.10,0.10,9.00,4.60,12.50
"Electronics engineers, except computer",17-2072,Line item,134.90,136.80,0.10,0.10,1.90,1.40,8.20
Environmental engineers,17-2081,Line item,55.80,57.60,0.00,0.00,1.70,3.10,3.70
"Industrial engineers, including health and safety",17-2110,Summary,322.30,353.30,0.20,0.20,31.00,9.60,23.00
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,26.40,27.50,0.00,0.00,1.00,3.90,1.70
Industrial engineers,17-2112,Line item,295.80,325.80,0.20,0.20,30.00,10.10,21.30
Marine engineers and naval architects,17-2121,Line item,11.80,12.00,0.00,0.00,0.20,1.50,0.60
Materials engineers,17-2131,Line item,27.50,27.90,0.00,0.00,0.40,1.50,1.50
Mechanical engineers,17-2141,Line item,316.30,328.70,0.20,0.20,12.40,3.90,19.20
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,6.30,6.60,0.00,0.00,0.30,4.20,0.40
Nuclear engineers,17-2161,Line item,16.40,14.30,0.00,0.00,-2.10,-12.60,0.70
Petroleum engineers,17-2171,Line item,33.40,34.40,0.00,0.00,1.10,3.20,2.10
"Engineers, all other",17-2199,Line item,170.10,172.30,0.10,0.10,2.20,1.30,10.30
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,704.60,708.60,0.40,0.40,4.00,0.60,61.30
Drafters,17-3010,Summary,200.90,193.70,0.10,0.10,-7.10,-3.50,16.40
Architectural and civil drafters,17-3011,Line item,102.90,100.30,0.10,0.10,-2.60,-2.50,8.50
Electrical and electronics drafters,17-3012,Line item,25.30,25.40,0.00,0.00,0.10,0.50,2.20
Mechanical drafters,17-3013,Line item,57.50,52.70,0.00,0.00,-4.70,-8.30,4.30
"Drafters, all other",17-3019,Line item,15.20,15.30,0.00,0.00,0.10,0.60,1.30
"Engineering technologists and technicians, except drafters",17-3020,Summary,353.70,362.50,0.20,0.20,8.80,2.50,30.60
Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.90,12.70,0.00,0.00,0.80,7.00,1.10
Civil engineering technologists and technicians,17-3022,Line item,70.90,72.70,0.00,0.00,1.80,2.50,6.10
Electrical and electronic engineering technologists and technicians,17-3023,Line item,125.80,127.80,0.10,0.10,1.90,1.50,10.70
Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,14.60,15.10,0.00,0.00,0.40,3.00,1.30
Environmental engineering technologists and technicians,17-3025,Line item,18.50,19.90,0.00,0.00,1.40,7.50,1.70
Industrial engineering technologists and technicians,17-3026,Line item,68.50,69.50,0.00,0.00,1.00,1.50,5.80
Mechanical engineering technologists and technicians,17-3027,Line item,43.50,44.90,0.00,0.00,1.40,3.10,3.80
Surveying and mapping technicians,17-3031,Line item,58.40,58.80,0.00,0.00,0.40,0.70,6.40
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,Line item,91.60,93.60,0.10,0.10,2.00,2.10,7.90
"Life, physical, and social science occupations",19-0000,Summary,1460.30,1528.50,0.90,0.90,68.20,4.70,126.90
Life scientists,19-1000,Summary,344.80,361.40,0.20,0.20,16.60,4.80,29.20
Agricultural and food scientists,19-1010,Summary,34.80,36.80,0.00,0.00,2.00,5.70,3.60
Animal scientists,19-1011,Line item,2.80,3.00,0.00,0.00,0.20,5.50,0.30
Food scientists and technologists,19-1012,Line item,14.20,14.90,0.00,0.00,0.60,4.40,1.40
Soil and plant scientists,19-1013,Line item,17.80,19.00,0.00,0.00,1.20,6.80,1.90
Biological scientists,19-1020,Summary,120.60,124.40,0.10,0.10,3.80,3.20,10.00
Biochemists and biophysicists,19-1021,Line item,34.60,36.00,0.00,0.00,1.40,4.00,2.90
Microbiologists,19-1022,Line item,20.20,20.90,0.00,0.00,0.60,3.10,1.70
Zoologists and wildlife biologists,19-1023,Line item,21.00,21.80,0.00,0.00,0.80,3.90,1.80
"Biological scientists, all other",19-1029,Line item,44.70,45.70,0.00,0.00,1.00,2.20,3.60
Conservation scientists and foresters,19-1030,Summary,36.10,37.80,0.00,0.00,1.70,4.70,3.30
Conservation scientists,19-1031,Line item,24.50,25.80,0.00,0.00,1.20,5.10,2.30
Foresters,19-1032,Line item,11.60,12.00,0.00,0.00,0.40,3.80,1.10
Medical scientists,19-1040,Summary,146.20,155.00,0.10,0.10,8.80,6.00,11.80
Epidemiologists,19-1041,Line item,8.00,8.30,0.00,0.00,0.40,4.60,0.60
"Medical scientists, except epidemiologists",19-1042,Line item,138.30,146.70,0.10,0.10,8.40,6.10,11.20
"Life scientists, all other",19-1099,Line item,7.00,7.40,0.00,0.00,0.30,4.60,0.60
Physical scientists,19-2000,Summary,276.60,291.40,0.20,0.20,14.70,5.30,24.30
Astronomers and physicists,19-2010,Summary,20.50,21.90,0.00,0.00,1.40,6.80,1.40
Astronomers,19-2011,Line item,2.30,2.40,0.00,0.00,0.10,2.40,0.10
Physicists,19-2012,Line item,18.20,19.50,0.00,0.00,1.30,7.30,1.30
Atmospheric and space scientists,19-2021,Line item,9.90,10.60,0.00,0.00,0.60,6.40,0.90
Chemists and materials scientists,19-2030,Summary,93.70,98.00,0.10,0.10,4.30,4.60,7.90
Chemists,19-2031,Line item,86.70,90.80,0.10,0.10,4.10,4.70,7.30
Materials scientists,19-2032,Line item,7.00,7.20,0.00,0.00,0.20,3.40,0.60
Environmental scientists and geoscientists,19-2040,Summary,129.70,138.80,0.10,0.10,9.00,7.00,12.50
"Environmental scientists and specialists, including health",19-2041,Line item,90.90,98.00,0.10,0.10,7.10,7.80,8.90
"Geoscientists, except hydrologists and geographers",19-2042,Line item,31.80,33.40,0.00,0.00,1.60,4.90,3.00
Hydrologists,19-2043,Line item,7.00,7.30,0.00,0.00,0.40,5.30,0.70
"Physical scientists, all other",19-2099,Line item,22.80,22.10,0.00,0.00,-0.70,-3.00,1.50
Social scientists and related workers,19-3000,Summary,326.90,340.80,0.20,0.20,13.90,4.30,24.20
Economists,19-3011,Line item,20.50,23.50,0.00,0.00,2.90,14.10,1.60
Survey researchers,19-3022,Line item,12.20,11.70,0.00,0.00,-0.40,-3.70,1.10
Psychologists,19-3030,Summary,192.30,198.10,0.10,0.10,5.70,3.00,11.80
"Clinical, counseling, and school psychologists",19-3031,Line item,171.50,176.70,0.10,0.10,5.30,3.10,10.50
Industrial-organizational psychologists,19-3032,Line item,1.10,1.10,0.00,0.00,0.00,2.50,0.10
"Psychologists, all other",19-3039,Line item,19.80,20.20,0.00,0.00,0.40,2.30,1.20
Sociologists,19-3041,Line item,3.20,3.30,0.00,0.00,0.10,3.60,0.30
Urban and regional planners,19-3051,Line item,39.70,44.10,0.00,0.00,4.40,11.00,3.70
Miscellaneous social scientists and related workers,19-3090,Summary,58.90,60.10,0.00,0.00,1.20,2.00,5.60
Anthropologists and archeologists,19-3091,Line item,8.00,8.40,0.00,0.00,0.40,5.20,0.80
Geographers,19-3092,Line item,1.60,1.60,0.00,0.00,0.00,-1.20,0.10
Historians,19-3093,Line item,3.50,3.60,0.00,0.00,0.10,2.60,0.30
Political scientists,19-3094,Line item,7.00,7.40,0.00,0.00,0.40,6.10,0.70
"Social scientists and related workers, all other",19-3099,Line item,38.80,39.10,0.00,0.00,0.30,0.80,3.60
"Life, physical, and social science technicians",19-4000,Summary,389.50,407.60,0.20,0.20,18.10,4.70,42.50
Agricultural and food science technicians,19-4010,Line item,24.20,25.10,0.00,0.00,1.00,4.10,2.80
Biological technicians,19-4021,Line item,87.50,91.80,0.10,0.10,4.30,4.90,9.40
Chemical technicians,19-4031,Line item,68.10,70.00,0.00,0.00,1.90,2.80,6.30
Environmental science and geoscience technicians,19-4040,Summary,53.70,57.70,0.00,0.00,4.00,7.40,5.90
"Environmental science and protection technicians, including health",19-4042,Line item,34.70,37.60,0.00,0.00,2.90,8.40,4.30
Geological and hydrologic technicians,19-4045,Line item,19.00,20.10,0.00,0.00,1.00,5.50,1.60
Nuclear technicians,19-4051,Line item,6.70,5.40,0.00,0.00,-1.30,-18.90,0.50
Social science research assistants,19-4061,Line item,40.10,42.40,0.00,0.00,2.30,5.80,4.80
Forest and conservation technicians,19-4071,Line item,21.20,21.30,0.00,0.00,0.10,0.60,2.30
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,88.10,93.90,0.10,0.10,5.80,6.50,10.60
Forensic science technicians,19-4092,Line item,17.20,19.60,0.00,0.00,2.40,14.10,2.30
"Life, physical, and social science technicians, all other",19-4099,Line item,71.00,74.30,0.00,0.00,3.40,4.70,8.30
Occupational health and safety specialists and technicians,19-5000,Summary,122.60,127.40,0.10,0.10,4.80,4.00,6.70
Occupational health and safety specialists,19-5011,Line item,100.50,104.30,0.10,0.10,3.80,3.80,5.50
Occupational health and safety technicians,19-5012,Line item,22.10,23.10,0.00,0.00,1.00,4.80,1.20
Community and social service occupations,21-0000,Summary,2797.70,3146.30,1.70,1.90,348.60,12.50,309.90
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,2331.30,2663.00,1.40,1.60,331.70,14.20,259.60
Counselors,21-1010,Summary,868.40,1005.10,0.50,0.60,136.70,15.70,95.80
"Educational, guidance, and career counselors and advisors",21-1012,Line item,333.50,360.40,0.20,0.20,26.80,8.00,33.10
Marriage and family therapists,21-1013,Line item,66.20,80.90,0.00,0.00,14.80,22.30,7.90
Rehabilitation counselors,21-1015,Line item,120.20,132.50,0.10,0.10,12.30,10.30,12.30
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,319.40,398.40,0.20,0.20,79.00,24.70,39.40
"Counselors, all other",21-1019,Line item,29.10,32.90,0.00,0.00,3.80,13.00,3.10
Social workers,21-1020,Summary,713.20,803.80,0.40,0.50,90.70,12.70,73.70
"Child, family, and school social workers",21-1021,Line item,342.50,382.60,0.20,0.20,40.10,11.70,34.90
Healthcare social workers,21-1022,Line item,185.00,211.70,0.10,0.10,26.70,14.40,19.60
Mental health and substance abuse social workers,21-1023,Line item,123.20,143.80,0.10,0.10,20.70,16.80,13.40
"Social workers, all other",21-1029,Line item,62.50,65.60,0.00,0.00,3.20,5.10,5.80
Miscellaneous community and social service specialists,21-1090,Summary,749.70,854.00,0.50,0.50,104.30,13.90,90.10
Health education specialists,21-1091,Line item,62.20,69.30,0.00,0.00,7.10,11.40,6.90
Probation officers and correctional treatment specialists,21-1092,Line item,91.80,95.30,0.10,0.10,3.40,3.70,7.30
Social and human service assistants,21-1093,Line item,425.60,497.10,0.30,0.30,71.50,16.80,56.50
Community health workers,21-1094,Line item,64.90,74.80,0.00,0.00,9.90,15.20,7.60
"Community and social service specialists, all other",21-1099,Line item,105.20,117.60,0.10,0.10,12.40,11.70,11.80
Religious workers,21-2000,Summary,466.50,483.40,0.30,0.30,16.90,3.60,50.30
Clergy,21-2011,Line item,243.90,253.60,0.10,0.20,9.70,4.00,24.40
"Directors, religious activities and education",21-2021,Line item,157.50,162.70,0.10,0.10,5.20,3.30,17.70
"Religious workers, all other",21-2099,Line item,65.00,67.10,0.00,0.00,2.10,3.20,8.30
Legal occupations,23-0000,Summary,1335.60,1403.20,0.80,0.80,67.60,5.10,89.60
"Lawyers, judges, and related workers",23-1000,Summary,883.90,918.40,0.50,0.50,34.50,3.90,43.30
Lawyers and judicial law clerks,23-1010,Summary,831.30,864.20,0.50,0.50,32.90,4.00,40.80
Lawyers,23-1011,Line item,813.90,846.30,0.50,0.50,32.30,4.00,39.90
Judicial law clerks,23-1012,Line item,17.30,17.90,0.00,0.00,0.60,3.40,0.80
"Judges, magistrates, and other judicial workers",23-1020,Summary,52.60,54.20,0.00,0.00,1.60,3.10,2.50
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.40,15.40,0.00,0.00,0.00,0.30,0.70
"Arbitrators, mediators, and conciliators",23-1022,Line item,7.30,7.90,0.00,0.00,0.60,7.70,0.40
"Judges, magistrate judges, and magistrates",23-1023,Line item,29.90,30.90,0.00,0.00,1.00,3.40,1.40
Legal support workers,23-2000,Summary,451.70,484.80,0.30,0.30,33.10,7.30,46.30
Paralegals and legal assistants,23-2011,Line item,337.80,373.10,0.20,0.20,35.30,10.50,37.60
Miscellaneous legal support workers,23-2090,Summary,113.90,111.70,0.10,0.10,-2.20,-2.00,8.70
"Title examiners, abstractors, and searchers",23-2093,Line item,63.60,61.90,0.00,0.00,-1.60,-2.60,4.80
"Legal support workers, all other",23-2099,Line item,50.40,49.80,0.00,0.00,-0.60,-1.20,3.90
Educational instruction and library occupations,25-0000,Summary,9744.70,10185.60,6.00,6.00,441.00,4.50,850.00
Postsecondary teachers,25-1000,Summary,1721.50,1849.70,1.10,1.10,128.20,7.40,145.30
"Business teachers, postsecondary",25-1011,Line item,105.10,117.70,0.10,0.10,12.70,12.00,9.50
"Math and computer science teachers, postsecondary",25-1020,Summary,98.60,100.40,0.10,0.10,1.80,1.80,7.60
"Computer science teachers, postsecondary",25-1021,Line item,38.50,39.50,0.00,0.00,1.00,2.60,3.00
"Mathematical science teachers, postsecondary",25-1022,Line item,60.10,60.80,0.00,0.00,0.80,1.30,4.60
"Engineering and architecture teachers, postsecondary",25-1030,Summary,53.10,57.40,0.00,0.00,4.30,8.10,4.50
"Architecture teachers, postsecondary",25-1031,Line item,8.50,9.00,0.00,0.00,0.40,5.10,0.70
"Engineering teachers, postsecondary",25-1032,Line item,44.60,48.40,0.00,0.00,3.80,8.60,3.80
"Life sciences teachers, postsecondary",25-1040,Summary,78.30,84.60,0.00,0.10,6.30,8.10,6.70
"Agricultural sciences teachers, postsecondary",25-1041,Line item,11.40,11.70,0.00,0.00,0.20,2.10,0.90
"Biological science teachers, postsecondary",25-1042,Line item,64.70,70.70,0.00,0.00,6.00,9.30,5.60
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,2.10,2.20,0.00,0.00,0.00,2.20,0.20
"Physical sciences teachers, postsecondary",25-1050,Summary,64.20,66.60,0.00,0.00,2.40,3.80,5.10
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.10,13.40,0.00,0.00,0.20,1.90,1.00
"Chemistry teachers, postsecondary",25-1052,Line item,26.40,27.50,0.00,0.00,1.10,4.30,2.10
"Environmental science teachers, postsecondary",25-1053,Line item,7.60,7.80,0.00,0.00,0.30,3.70,0.60
"Physics teachers, postsecondary",25-1054,Line item,17.10,17.80,0.00,0.00,0.80,4.40,1.40
"Social sciences teachers, postsecondary",25-1060,Summary,145.00,152.70,0.10,0.10,7.70,5.30,11.80
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,7.20,7.50,0.00,0.00,0.30,4.40,0.60
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,13.40,14.00,0.00,0.00,0.70,4.90,1.10
"Economics teachers, postsecondary",25-1063,Line item,16.80,17.60,0.00,0.00,0.90,5.20,1.40
"Geography teachers, postsecondary",25-1064,Line item,4.80,5.00,0.00,0.00,0.10,2.90,0.40
"Political science teachers, postsecondary",25-1065,Line item,19.80,20.80,0.00,0.00,1.00,4.90,1.60
"Psychology teachers, postsecondary",25-1066,Line item,46.80,51.00,0.00,0.00,4.10,8.80,4.00
"Sociology teachers, postsecondary",25-1067,Line item,17.00,17.60,0.00,0.00,0.60,3.80,1.30
"Social sciences teachers, postsecondary, all other",25-1069,Line item,19.30,19.20,0.00,0.00,-0.10,-0.30,1.40
"Health teachers, postsecondary",25-1070,Summary,326.90,391.80,0.20,0.20,64.90,19.90,33.20
"Health specialties teachers, postsecondary",25-1071,Line item,254.00,306.10,0.20,0.20,52.10,20.50,26.00
"Nursing instructors and teachers, postsecondary",25-1072,Line item,72.90,85.70,0.00,0.10,12.80,17.60,7.20
"Education and library science teachers, postsecondary",25-1080,Summary,82.60,86.50,0.10,0.10,3.90,4.70,6.70
"Education teachers, postsecondary",25-1081,Line item,77.30,81.00,0.00,0.00,3.70,4.80,6.20
"Library science teachers, postsecondary",25-1082,Line item,5.40,5.50,0.00,0.00,0.20,3.00,0.40
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,55.40,59.00,0.00,0.00,3.60,6.40,4.60
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.80,17.90,0.00,0.00,1.10,6.70,1.40
