Title,Code,Type,2019EmpNum,2029EmpProjNum,ChgNum,ChgPct,PctSelfEmp, AnnAvgOpens ,MedWage,Education,Experience,Training
Human resources specialists,13-1071,Line item,666.50,713.50,46.90,7.00,1.50,64.50,61920.00,Bachelor's degree,None,None
Farm labor contractors,13-1074,Line item,0.80,0.90,0.10,10.40,—,0.10,61910.00,No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Line item,78.90,73.50,-5.40,-6.80,1.70,6.10,69020.00,Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,Line item,188.20,196.40,8.20,4.40,0.40,16.80,74750.00,Bachelor's degree,None,None
Management analysts,13-1111,Line item,876.30,970.20,93.80,10.70,14.80,87.10,85260.00,Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Line item,138.60,149.50,10.80,7.80,5.10,15.20,50600.00,Bachelor's degree,None,None
Fundraisers,13-1131,Line item,100.60,115.00,14.40,14.30,—,11.10,57970.00,Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,Line item,94.40,101.80,7.50,7.90,—,9.00,64560.00,Bachelor's degree,Less than 5 years,None
Training and development specialists,13-1151,Line item,327.90,356.10,28.20,8.60,0.70,33.70,61210.00,Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,Line item,738.10,868.40,130.30,17.70,4.30,84.20,63790.00,Bachelor's degree,None,None
"Project management specialists and business operations specialists, all other",13-1198,Line item,1361.80,1441.60,79.80,5.90,0.20,128.00,73570.00,Bachelor's degree,None,None
Financial specialists,13-2000,Summary,3072.30,3180.60,108.30,3.50,6.00,251.30,71950.00,—,—,—
Accountants and auditors,13-2011,Line item,1436.10,1497.90,61.70,4.30,6.00,125.70,71550.00,Bachelor's degree,None,None
Property appraisers and assessors,13-2020,Line item,75.10,77.30,2.20,2.90,23.00,5.40,57010.00,Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,Line item,55.40,57.30,1.90,3.40,—,4.30,76540.00,Bachelor's degree,None,None
Credit analysts,13-2041,Line item,74.90,71.20,-3.60,-4.80,—,5.30,73650.00,Bachelor's degree,None,None
Personal financial advisors,13-2052,Line item,263.00,274.60,11.60,4.40,18.90,19.20,87850.00,Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,Line item,114.70,107.60,-7.10,-6.20,—,7.30,70020.00,Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,Line item,66.90,71.80,4.90,7.30,—,4.90,81090.00,Bachelor's degree,None,Long-term on-the-job training
Credit counselors and loan officers,13-2070,Summary,352.40,365.20,12.80,3.60,0.90,27.10,61090.00,—,—,—
Credit counselors,13-2071,Line item,35.60,38.30,2.70,7.60,0.70,2.90,45950.00,Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,Line item,316.90,327.00,10.10,3.20,0.90,24.20,63270.00,Bachelor's degree,None,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,146.10,143.10,-2.90,-2.00,12.70,13.30,49590.00,—,—,—
"Tax examiners and collectors, and revenue agents",13-2081,Line item,57.60,55.30,-2.40,-4.10,—,4.20,54890.00,Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,Line item,88.40,87.90,-0.60,-0.60,21.00,9.10,43080.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",13-2098,Line item,487.80,514.60,26.80,5.50,1.90,38.60,81590.00,Bachelor's degree,None,None
Computer and mathematical occupations,15-0000,Summary,4845.10,5432.40,587.40,12.10,2.20,382.90,88340.00,—,—,—
Computer occupations,15-1200,Summary,4633.40,5164.60,531.20,11.50,2.20,362.60,88240.00,—,—,—
Computer and information analysts,15-1210,Summary,763.40,850.80,87.50,11.50,2.70,60.00,92360.00,—,—,—
Computer systems analysts,15-1211,Line item,632.40,679.00,46.60,7.40,3.00,46.20,90920.00,Bachelor's degree,None,None
Information security analysts,15-1212,Line item,131.00,171.90,40.90,31.20,0.80,13.90,99730.00,Bachelor's degree,Less than 5 years,None
Computer and information research scientists,15-1221,Line item,32.70,37.70,5.00,15.40,—,3.00,122840.00,Master's degree,None,None
Computer support specialists,15-1230,Summary,882.30,949.60,67.30,7.60,1.90,68.40,54760.00,—,—,—
Computer network support specialists,15-1231,Line item,195.10,207.70,12.60,6.40,2.00,14.80,63460.00,Associate's degree,None,None
Computer user support specialists,15-1232,Line item,687.20,741.90,54.80,8.00,1.90,53.60,52270.00,"Some college, no degree",None,None
Database and network administrators and architects,15-1240,Summary,666.50,703.30,36.90,5.50,1.10,43.70,91390.00,—,—,—
Computer network architects,15-1241,Line item,160.10,168.10,8.00,5.00,2.00,10.00,112690.00,Bachelor's degree,5 years or more,None
Network and computer systems administrators,15-1244,Line item,373.90,389.90,16.00,4.30,1.00,23.80,83510.00,Bachelor's degree,None,None
Database administrators and architects,15-1245,Line item,132.50,145.30,12.80,9.70,0.20,9.90,93750.00,Bachelor's degree,None,None
"Software and web developers, programmers, and testers",15-1250,Summary,1857.40,2167.30,309.90,16.70,2.20,155.20,102330.00,—,—,—
Computer programmers,15-1251,Line item,213.90,193.80,-20.10,-9.40,2.80,10.40,86550.00,Bachelor's degree,None,None
Software developers and software quality assurance analysts and testers,15-1256,Line item,1469.20,1785.20,316.00,21.50,1.20,131.40,107510.00,Bachelor's degree,None,None
Web developers and digital interface designers,15-1257,Line item,174.30,188.30,14.00,8.00,9.80,13.40,73760.00,Associate's degree,None,None
"Computer occupations, all other",15-1299,Line item,431.10,455.80,24.70,5.70,3.90,32.30,88550.00,Bachelor's degree,None,None
Mathematical science occupations,15-2000,Summary,211.70,267.80,56.10,26.50,1.60,20.20,90410.00,—,—,—
Actuaries,15-2011,Line item,27.70,32.60,4.90,17.60,4.20,2.00,108350.00,Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,Line item,2.90,3.00,0.10,3.00,—,0.20,105030.00,Master's degree,None,None
Operations research analysts,15-2031,Line item,105.10,131.30,26.10,24.80,0.20,9.60,84810.00,Bachelor's degree,None,None
Statisticians,15-2041,Line item,42.70,57.50,14.80,34.60,2.50,4.90,91160.00,Master's degree,None,None
"Data scientists and mathematical science occupations, all other",15-2098,Line item,33.20,43.40,10.30,30.90,3.00,3.60,94280.00,Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,Summary,2728.90,2803.70,74.80,2.70,2.90,193.60,81440.00,—,—,—
"Architects, surveyors, and cartographers",17-1000,Summary,214.30,216.00,1.80,0.80,13.70,14.80,74520.00,—,—,—
"Architects, except naval",17-1010,Summary,154.40,154.80,0.50,0.30,17.20,10.20,78890.00,—,—,—
"Architects, except landscape and naval",17-1011,Line item,129.90,130.90,1.10,0.80,17.30,8.70,80750.00,Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,Line item,24.50,23.90,-0.60,-2.40,16.70,1.50,69360.00,Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,59.90,61.20,1.30,2.10,4.70,4.60,63880.00,—,—,—
Cartographers and photogrammetrists,17-1021,Line item,12.00,12.50,0.50,4.50,3.00,0.90,65470.00,Bachelor's degree,None,None
Surveyors,17-1022,Line item,48.00,48.70,0.80,1.60,5.10,3.60,63420.00,Bachelor's degree,None,Internship/residency
Engineers,17-2000,Summary,1810.10,1879.10,69.00,3.80,2.00,117.50,94500.00,—,—,—
Aerospace engineers,17-2011,Line item,66.40,68.20,1.90,2.80,1.20,3.90,116500.00,Bachelor's degree,None,None
Agricultural engineers,17-2021,Line item,1.70,1.70,0.00,1.60,5.00,0.10,80720.00,Bachelor's degree,None,None
Bioengineers and biomedical engineers,17-2031,Line item,21.20,22.20,1.00,4.70,2.60,1.40,91410.00,Bachelor's degree,None,None
Chemical engineers,17-2041,Line item,32.60,34.00,1.40,4.40,5.40,2.00,108770.00,Bachelor's degree,None,None
Civil engineers,17-2051,Line item,329.20,334.70,5.50,1.70,3.60,22.90,87060.00,Bachelor's degree,None,None
Computer hardware engineers,17-2061,Line item,71.10,72.20,1.10,1.60,1.60,4.90,117220.00,Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,Summary,328.10,338.90,10.80,3.30,1.70,20.70,101250.00,—,—,—
Electrical engineers,17-2071,Line item,193.10,202.10,9.00,4.60,1.80,12.50,98530.00,Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,Line item,134.90,136.80,1.90,1.40,1.60,8.20,105570.00,Bachelor's degree,None,None
Environmental engineers,17-2081,Line item,55.80,57.60,1.70,3.10,2.00,3.70,88860.00,Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,Summary,322.30,353.30,31.00,9.60,—,23.00,88240.00,—,—,—
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,26.40,27.50,1.00,3.90,—,1.70,91410.00,Bachelor's degree,None,None
Industrial engineers,17-2112,Line item,295.80,325.80,30.00,10.10,—,21.30,88020.00,Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,Line item,11.80,12.00,0.20,1.50,—,0.60,92400.00,Bachelor's degree,None,None
Materials engineers,17-2131,Line item,27.50,27.90,0.40,1.50,—,1.50,93360.00,Bachelor's degree,None,None
Mechanical engineers,17-2141,Line item,316.30,328.70,12.40,3.90,1.00,19.20,88430.00,Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,6.30,6.60,0.30,4.20,—,0.40,91160.00,Bachelor's degree,None,None
Nuclear engineers,17-2161,Line item,16.40,14.30,-2.10,-12.60,—,0.70,113460.00,Bachelor's degree,None,None
Petroleum engineers,17-2171,Line item,33.40,34.40,1.10,3.20,—,2.10,137720.00,Bachelor's degree,None,None
"Engineers, all other",17-2199,Line item,170.10,172.30,2.20,1.30,6.10,10.30,99040.00,Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,704.60,708.60,4.00,0.60,1.70,61.30,57690.00,—,—,—
Drafters,17-3010,Summary,200.90,193.70,-7.10,-3.50,2.90,16.40,56830.00,—,—,—
Architectural and civil drafters,17-3011,Line item,102.90,100.30,-2.60,-2.50,2.90,8.50,56340.00,Associate's degree,None,None
Electrical and electronics drafters,17-3012,Line item,25.30,25.40,0.10,0.50,2.90,2.20,61530.00,Associate's degree,None,None
Mechanical drafters,17-3013,Line item,57.50,52.70,-4.70,-8.30,3.00,4.30,57060.00,Associate's degree,None,None
"Drafters, all other",17-3019,Line item,15.20,15.30,0.10,0.60,2.90,1.30,52830.00,Associate's degree,None,None
"Engineering technologists and technicians, except drafters",17-3020,Summary,353.70,362.50,8.80,2.50,0.30,30.60,59620.00,—,—,—
Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.90,12.70,0.80,7.00,—,1.10,66020.00,Associate's degree,None,None
Civil engineering technologists and technicians,17-3022,Line item,70.90,72.70,1.80,2.50,0.20,6.10,53410.00,Associate's degree,None,None
Electrical and electronic engineering technologists and technicians,17-3023,Line item,125.80,127.80,1.90,1.50,0.30,10.70,65260.00,Associate's degree,None,None
Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,14.60,15.10,0.40,3.00,0.40,1.30,58350.00,Associate's degree,None,None
Environmental engineering technologists and technicians,17-3025,Line item,18.50,19.90,1.40,7.50,0.30,1.70,50620.00,Associate's degree,None,None
Industrial engineering technologists and technicians,17-3026,Line item,68.50,69.50,1.00,1.50,0.40,5.80,56550.00,Associate's degree,None,None
Mechanical engineering technologists and technicians,17-3027,Line item,43.50,44.90,1.40,3.10,0.40,3.80,56980.00,Associate's degree,None,None
Surveying and mapping technicians,17-3031,Line item,58.40,58.80,0.40,0.70,8.40,6.40,45010.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,Line item,91.60,93.60,2.00,2.10,0.30,7.90,62990.00,Associate's degree,None,None
"Life, physical, and social science occupations",19-0000,Summary,1460.30,1528.50,68.20,4.70,6.10,126.90,68160.00,—,—,—
Life scientists,19-1000,Summary,344.80,361.40,16.60,4.80,1.60,29.20,78080.00,—,—,—
Agricultural and food scientists,19-1010,Summary,34.80,36.80,2.00,5.70,0.20,3.60,65160.00,—,—,—
Animal scientists,19-1011,Line item,2.80,3.00,0.20,5.50,—,0.30,60300.00,Bachelor's degree,None,None
Food scientists and technologists,19-1012,Line item,14.20,14.90,0.60,4.40,—,1.40,68970.00,Bachelor's degree,None,None
Soil and plant scientists,19-1013,Line item,17.80,19.00,1.20,6.80,—,1.90,63200.00,Bachelor's degree,None,None
Biological scientists,19-1020,Summary,120.60,124.40,3.80,3.20,2.40,10.00,79580.00,—,—,—
Biochemists and biophysicists,19-1021,Line item,34.60,36.00,1.40,4.00,3.70,2.90,94490.00,Doctoral or professional degree,None,None
Microbiologists,19-1022,Line item,20.20,20.90,0.60,3.10,2.70,1.70,75650.00,Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,Line item,21.00,21.80,0.80,3.90,1.00,1.80,63270.00,Bachelor's degree,None,None
"Biological scientists, all other",19-1029,Line item,44.70,45.70,1.00,2.20,1.90,3.60,82220.00,Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,Summary,36.10,37.80,1.70,4.70,4.00,3.30,62410.00,—,—,—
Conservation scientists,19-1031,Line item,24.50,25.80,1.20,5.10,3.40,2.30,62660.00,Bachelor's degree,None,None
Foresters,19-1032,Line item,11.60,12.00,0.40,3.80,5.40,1.10,61790.00,Bachelor's degree,None,None
Medical scientists,19-1040,Summary,146.20,155.00,8.80,6.00,0.70,11.80,87290.00,—,—,—
Epidemiologists,19-1041,Line item,8.00,8.30,0.40,4.60,—,0.60,70990.00,Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,Line item,138.30,146.70,8.40,6.10,0.70,11.20,88790.00,Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,Line item,7.00,7.40,0.30,4.60,—,0.60,75910.00,Bachelor's degree,None,None
Physical scientists,19-2000,Summary,276.60,291.40,14.70,5.30,2.60,24.30,81270.00,—,—,—
Astronomers and physicists,19-2010,Summary,20.50,21.90,1.40,6.80,—,1.40,122220.00,—,—,—
Astronomers,19-2011,Line item,2.30,2.40,0.10,2.40,—,0.10,114590.00,Doctoral or professional degree,None,None
Physicists,19-2012,Line item,18.20,19.50,1.30,7.30,—,1.30,122850.00,Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,Line item,9.90,10.60,0.60,6.40,—,0.90,95380.00,Bachelor's degree,None,None
Chemists and materials scientists,19-2030,Summary,93.70,98.00,4.30,4.60,0.30,7.90,78790.00,—,—,—
Chemists,19-2031,Line item,86.70,90.80,4.10,4.70,0.30,7.30,77630.00,Bachelor's degree,None,None
Materials scientists,19-2032,Line item,7.00,7.20,0.20,3.40,—,0.60,96810.00,Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,Summary,129.70,138.80,9.00,7.00,3.60,12.50,75830.00,—,—,—
"Environmental scientists and specialists, including health",19-2041,Line item,90.90,98.00,7.10,7.80,3.30,8.90,71360.00,Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,Line item,31.80,33.40,1.60,4.90,4.60,3.00,92040.00,Bachelor's degree,None,None
Hydrologists,19-2043,Line item,7.00,7.30,0.40,5.30,2.40,0.70,81270.00,Bachelor's degree,None,None
"Physical scientists, all other",19-2099,Line item,22.80,22.10,-0.70,-3.00,9.90,1.50,109910.00,Bachelor's degree,None,None
Social scientists and related workers,19-3000,Summary,326.90,340.80,13.90,4.30,20.30,24.20,80220.00,—,—,—
Economists,19-3011,Line item,20.50,23.50,2.90,14.10,1.40,1.60,105020.00,Master's degree,None,None
Survey researchers,19-3022,Line item,12.20,11.70,-0.40,-3.70,14.80,1.10,59170.00,Master's degree,None,None
Psychologists,19-3030,Summary,192.30,198.10,5.70,3.00,31.50,11.80,80370.00,—,—,—
"Clinical, counseling, and school psychologists",19-3031,Line item,171.50,176.70,5.30,3.10,32.50,10.50,78200.00,Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,19-3032,Line item,1.10,1.10,0.00,2.50,40.90,0.10,92880.00,Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,Line item,19.80,20.20,0.40,2.30,22.10,1.20,101790.00,Master's degree,None,Internship/residency
Sociologists,19-3041,Line item,3.20,3.30,0.10,3.60,11.00,0.30,83420.00,Master's degree,None,None
Urban and regional planners,19-3051,Line item,39.70,44.10,4.40,11.00,—,3.70,74350.00,Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,Summary,58.90,60.10,1.20,2.00,5.80,5.60,81880.00,—,—,—
Anthropologists and archeologists,19-3091,Line item,8.00,8.40,0.40,5.20,11.40,0.80,63670.00,Master's degree,None,None
Geographers,19-3092,Line item,1.60,1.60,0.00,-1.20,—,0.10,81540.00,Bachelor's degree,None,None
Historians,19-3093,Line item,3.50,3.60,0.10,2.60,6.80,0.30,63680.00,Master's degree,None,None
Political scientists,19-3094,Line item,7.00,7.40,0.40,6.10,6.80,0.70,122220.00,Master's degree,None,None
"Social scientists and related workers, all other",19-3099,Line item,38.80,39.10,0.30,0.80,4.60,3.60,83330.00,Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,Summary,389.50,407.60,18.10,4.70,1.40,42.50,48230.00,—,—,—
Agricultural and food science technicians,19-4010,Line item,24.20,25.10,1.00,4.10,1.50,2.80,41230.00,Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,Line item,87.50,91.80,4.30,4.90,0.90,9.40,45860.00,Bachelor's degree,None,None
Chemical technicians,19-4031,Line item,68.10,70.00,1.90,2.80,1.20,6.30,49260.00,Associate's degree,None,Moderate-term on-the-job training
Environmental science and geoscience technicians,19-4040,Summary,53.70,57.70,4.00,7.40,3.60,5.90,47760.00,—,—,—
"Environmental science and protection technicians, including health",19-4042,Line item,34.70,37.60,2.90,8.40,1.40,4.30,46540.00,Associate's degree,None,None
Geological and hydrologic technicians,19-4045,Line item,19.00,20.10,1.00,5.50,7.50,1.60,51130.00,Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,Line item,6.70,5.40,-1.30,-18.90,2.10,0.50,82080.00,Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,Line item,40.10,42.40,2.30,5.80,1.30,4.80,47510.00,Bachelor's degree,None,None
Forest and conservation technicians,19-4071,Line item,21.20,21.30,0.10,0.60,—,2.30,45500.00,Associate's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,88.10,93.90,5.80,6.50,1.10,10.60,52090.00,—,—,—
Forensic science technicians,19-4092,Line item,17.20,19.60,2.40,14.10,—,2.30,59150.00,Bachelor's degree,None,Moderate-term on-the-job training
"Life, physical, and social science technicians, all other",19-4099,Line item,71.00,74.30,3.40,4.70,1.40,8.30,50550.00,Associate's degree,None,None
Occupational health and safety specialists and technicians,19-5000,Summary,122.60,127.40,4.80,4.00,4.10,6.70,70480.00,—,—,—
Occupational health and safety specialists,19-5011,Line item,100.50,104.30,3.80,3.80,4.00,5.50,74100.00,Bachelor's degree,None,None
Occupational health and safety technicians,19-5012,Line item,22.10,23.10,1.00,4.80,4.40,1.20,51550.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Community and social service occupations,21-0000,Summary,2797.70,3146.30,348.60,12.50,2.20,309.90,46090.00,—,—,—
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,2331.30,2663.00,331.70,14.20,2.50,259.60,46060.00,—,—,—
Counselors,21-1010,Summary,868.40,1005.10,136.70,15.70,5.80,95.80,48780.00,—,—,—
"Educational, guidance, and career counselors and advisors",21-1012,Line item,333.50,360.40,26.80,8.00,2.90,33.10,57040.00,Master's degree,None,None
Marriage and family therapists,21-1013,Line item,66.20,80.90,14.80,22.30,8.00,7.90,49610.00,Master's degree,None,Internship/residency
Rehabilitation counselors,21-1015,Line item,120.20,132.50,12.30,10.30,7.20,12.30,35950.00,Master's degree,None,None
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,319.40,398.40,79.00,24.70,7.70,39.40,46240.00,Bachelor's degree,None,None
"Counselors, all other",21-1019,Line item,29.10,32.90,3.80,13.00,5.60,3.10,42930.00,Master's degree,None,None
Social workers,21-1020,Summary,713.20,803.80,90.70,12.70,1.10,73.70,50470.00,—,—,—
"Child, family, and school social workers",21-1021,Line item,342.50,382.60,40.10,11.70,0.90,34.90,47390.00,Bachelor's degree,None,None
Healthcare social workers,21-1022,Line item,185.00,211.70,26.70,14.40,1.50,19.60,56750.00,Master's degree,None,Internship/residency
Mental health and substance abuse social workers,21-1023,Line item,123.20,143.80,20.70,16.80,1.40,13.40,46650.00,Master's degree,None,Internship/residency
